variant_1	variant_2	n_diploid	n_haplotypes	r2_dosage	r2_phased	abs_Dprime_phased
snp1	snp2	59	118	0.712838906244	0.6970923899	0.908278274388
snp1	snp3	60	120	0.716081572899	0.698831326659	0.908918406072
snp1	snp4	56	112	0.594286631359	0.587760532151	0.854545454545
snp1	snp5	59	118	0.741300378806	0.727988043567	0.909370199693
snp1	snp6	60	120	0.790757056428	0.770614733751	0.954459203036
snp1	snp7	60	120	0.394032535518	0.300848966031	0.581881533101
snp1	snp8	59	118	0.78483486988	0.765215707495	0.953174603175
snp1	snp9	60	120	0.485333631885	0.490196078431	0.714285714286
snp1	snp10	60	120	0.827995093362	0.809523809524	1
snp1	snp11	59	118	0.78483486988	0.765215707495	0.953174603175
snp1	snp12	59	118	0.724712334939	0.698807317608	0.950976319069
snp1	snp13	60	120	0.716114871044	0.699902531546	0.871657754011
snp1	snp14	58	116	0.355941236916	0.363349290333	0.641975308642
snp1	snp15	60	120	1.1776094058e-05	0.000428924212391	0.0431893687708
snp1	snp16	60	120	0.000769275150489	0.00486510393631	0.142857142857
snp1	snp17	59	118	0.0327421277478	0.0209474709469	0.294352159468
snp1	snp18	60	120	0.000769275150489	0.0010051867637	0.0649350649351
snp1	snp19	60	120	0.0206236594621	0.0113692535838	0.193277310924
snp1	snp20	59	118	0.00668426415711	0.00619156161325	0.157142857143
snp1	snp21	60	120	0.00587774294671	0.00140056022409	0.0714285714286
snp1	snp22	60	120	0.00675137025811	0.00347453992168	0.12292358804
snp1	snp23	59	118	0.00199512292791	0.00619156161325	0.157142857143
snp1	snp24	59	118	0.0123801396857	0.0124210012704	0.21094224924
snp1	snp25	59	118	1.23848702462e-05	0.000314469478343	0.0367346938776
snp1	snp26	60	120	0.000488876561661	0.00411718170218	0.12462006079
snp1	snp27	60	120	0.00472955542179	0.00830461444272	0.180124223602
snp1	snp28	58	116	0.00622960692092	0.0102563349183	0.16914600551
snp1	snp29	60	120	0.0056867409146	0.0107032286599	0.314285714286
snp1	snp30	60	120	7.09229918155e-05	0.00496499745561	0.208791208791
snp1	snp31	58	116	0.00115760782427	0.0114935279928	0.317647058824
snp1	snp32	60	120	0.00261233019854	0.00840336134454	0.285714285714
snp1	snp33	59	118	0.000925016990108	0.00303665552242	0.167058823529
snp1	snp34	59	118	0.000758341759353	0.0101062754419	0.277551020408
snp1	snp35	60	120	0.0188426172318	0.0219366261093	0.408866995074
snp1	snp36	60	120	0.000139530989833	0.00677690431011	0.238095238095
snp1	snp37	59	118	6.57835877842e-07	0.00786946845467	0.250793650794
snp1	snp38	60	120	0.00347522659896	0.013217070789	0.340659340659
snp1	snp39	59	118	0.000808996576808	0.0153314887208	0.357298474946
snp1	snp40	59	118	0.00729340303065	0.00265865895192	0.157142857143
